---𝑘|𝑛=𝑘·𝑛ⱼ·𝑛ᵢ |-----tⱼᵢ------|--------tₜₒₜₐₗ---------|------data e hora (utc)-------|ƒₙ(1/𝑒ᵉ) → 1/𝑒 ≈ 0.36787944117144 

----|----------|------|-------|---------|-------------|1446398661|2015/11/01 17:24:21|
 308| 154000000| 560.0|09:20.0| 184310.0|02 03:11:50.0|1446615688|2015/11/04 05:41:28|0.3679520588222286884373368878780217164503026659070076112204715083941849418248454177903334532227657117514676220302897915777028353339886085007869571611223477328796074783068270442432325167690007349106162991664462345544224346294435380243287660041497182651748347682656058674663998643402778384742416754561490225811322342860893097779862933301656517945951353083644215785950541516915943821649426193237720024299953341376383168011210266230896324397684402349575462498757716847456514543143104121599889225851436596
 309| 154500000| 560.0|09:20.0| 184870.0|02 03:21:10.0|1446616248|2015/11/04 05:50:48|0.36795194121693296017349325271329437473138315051345726003965536806362933760109383485731326245725425095033382943915304978144579554555378172196433990608026943911809795173716162499997794109989002737811019339205286191349195409543040087891010198475257573691155826608997161419234863163630214066824694781443528856692041639584401647236341219975134056262639326662006756905856779333339033747659967151526740566434771078513393028910948251349641411079850823981172084776071276672465636813835514362354986952761490274
 310| 155000000| 560.0|09:20.0| 185430.0|02 03:30:30.0|1446616808|2015/11/04 06:00:08|0.36795182418117363682935676350593633386577374822469343519595722782080036094266337783743969289839006587610106803235962125524109302529716551659953600632997123077596401641965621989955239435375213287463556614345272464572001585148361587536668387447948710219973713525851919137742335275020525567963325524942144645686140539238528927835500825953286202074635527099330474715007614385706200617909091375689560032915682425537955941251971545189991074299637680511900168286572334085662416806204287834028819987130720929
 311| 155500000| 560.0|09:20.0| 185990.0|02 03:39:50.0|1446617368|2015/11/04 06:09:28|0.36795170771036864184610667867723252561761311839062490979200431421326254914325472217747887405359139994914131514410415168039434344237125732798311059986051177231421227854185347594122839307426875592470846419307143383597829674423671336613713339502309112751969625397778763334022494166623423204210762065449810749302144304872210693938691521665696296232877531631800351295270117869802971441222887817955186845265619100209059765756888553124132947679588724435762449507645399071981030741438733403380589445713666285
 312| 156000000| 560.0|09:20.0| 186550.0|02 03:49:10.0|1446617928|2015/11/04 06:18:48|0.36795159179998734263094155623461755833015019151443850475536218334394513326526713048408733281955331919196817028054823541132934543800433627318287375305650906183704987708293465471501917427519676118257759595750184273685130812428012826414555068957231496182697700134929511912776122120755780501375673821314006904889800297767715322537681161782969573193091997029705913724485729687542979709906289713462951507165159073744938604472014473372838360310287442755066638838666918087989411915420092904018813551878233697
 313| 156500000| 560.0|09:20.0| 187110.0|02 03:58:30.0|1446618488|2015/11/04 06:28:08|0.36795147644554981033976314624249102455265311476587569512588340004839326551057463681644224968466566608348260550895229156134375663118018350682631485675811134273569730201973722920444326211226957752459511012524111963436790656490475804220345180133841235628720640092056282225060589482960982176068378084707089729497296964662750983347819802290537445741807892855109474183168942526935694418764451059322799491168521034798990384491538245080862418901509743789243336609274438730133589155355119875683002186175233472
 314| 157000000| 560.0|09:20.0| 187670.0|02 04:07:50.0|1446619048|2015/11/04 06:37:28|0.36795136164262609263604972394981658880033499899355315440719781572022068847987383880281890808910900220414121702975601164011354300511468379083128165098879622858288696925129032989544865671201649929786999320102101073545159584401896340190278218868301643104210320142967551343270680088527169929216891838457488972861999999573948680223420419710668518412900888713821966161769988467438915452088869218217664230171932515213304774731914089592743333136373240021385065954334555712264430811832719257079607904926690506
 315| 157500000| 560.0|09:20.0| 188230.0|02 04:17:10.0|1446619608|2015/11/04 06:46:48|0.36795124738683549915793827408643222402715789883247465767004507402012048462506080788102575816519936669528409728543264843760914264561366177691291642072063538177282606184360965630292625216762176575468075105393013604657627599989009349307608029861237849324085845830985870309681443249725394056165231438026684835758485620741216153404597908708049963400125040427137361841543589851732730479224128144138470470157090844222940764503361734639696803754915505976375495126675017139730478775343584289578128860440970734
 316| 158000000| 564.0|09:24.0| 188794.0|02 04:26:34.0|1446620172|2015/11/04 06:56:12|0.36795113367384589943190039206114354268738961987897676131932377462178298222103214409483133582331565145351849773929172079326567162189875398011684381207314831630178698775747524087642147224090052149221664102958904661345499865925117250220957065702538597775883150883479281211081260079032069641483103343738062047675636913245438702970076306035302049955925826124105738109869354947913143078683212657892490117570153833941663196953731124045635418768391338857518369762437463585208698700646192806615135036094278591
 317| 158500000| 567.0|09:27.0| 189361.0|02 04:36:01.0|1446620739|2015/11/04 07:05:39|0.36795102049937303297759140260518819525788273969738407802584395495335736470122485246911588016607587649010691853090987151640546557143728231851770740677049065358526508914825838929856466482955549324745010787465487268915527162273645838610934583742708130853647190152988926839264505193703176324581496461312420880274311145416314770348192978168869083146111755811147525509839494181030311229621234764279748002997436818734374494354166253686101215654947203180807950269158977281869809747867819486987898872365330796
 318| 159000000| 563.0|09:23.0| 189924.0|02 04:45:24.0|1446621302|2015/11/04 07:15:02|0.36795090785917983135448111803704240116080076919581052609324259989698602050542766252075843308241867809233060268655286204251423380502405294018298991132786221638304748158702062315219937187318001804908756496822179020434727133894800966994393689184484025160234752813768477254847747704766032519674631085442357731380490607215865163251007707271515138568668059605240252553570314896292218471530002894601611664954967225913122067401260890320317347740079146345402743819395305188139391435732286388734319803352011348
 319| 159500000| 560.0|09:20.0| 190484.0|02 04:54:44.0|1446621862|2015/11/04 07:24:22|0.36795079574907575190674280577005778260361709690081668621152180781026630616246621501078500501955447216798804224524874926314869168779987974657160000772695186816761237345704958340117012426315007729651326707452570159205307931940721451282581163666815285088071922573373857393047906138892225504754532278055005340663071410216363548780847741981348924125135882185705071441299159550421175252759833076073992758605935898440292985910378684161176526784189544319498834700813266059266684873815286576219621214670428106
 320| 160000000| 560.0|09:20.0| 191044.0|02 05:04:04.0|1446622422|2015/11/04 07:33:42|0.36795068416491612296858908474410851457204633895638971786967266175915213721872616418675549377289292821165948678061784244223709721620832894152371839775383426671129005882160120576568346182797730595800176643435494771015293628697078245785828738248919366188849524772291167574503079594558194358266034639508929830760925528330337448523437864649072067746091219368853031817699335987273185726822707103718460961008049503717737830699482692687545681731708335147420806743210371270341499413512539649860741829045536713
 321| 160500000| 560.0|09:20.0| 191604.0|02 05:13:24.0|1446622982|2015/11/04 07:43:02|0.36795057310260150029780424356229363241099142821236267846423448622317615438393343337349167207977541713565554520596257498478066239159910693855997150448642088092913241505432890327212464855122179727407832757326886595394052283833749429634548130280348258325919374989771860733249931148126649218807044162179839584509396480776405106304454492249542398026280030918609568386502003543031308297510725362063654771394086203142765654999838764322374670838626748821239034005861886227735166284387894424439350479907605807
 322| 161000000| 560.0|09:20.0| 192164.0|02 05:22:44.0|1446623542|2015/11/04 07:52:22|0.36795046255807703451063633889399264388366642649991592883261576403594774543419787923424096390809322570541588754305423896768004772377083063160962735983757665918826295887666235497692630822395954922370861047989130849413859065009352745143178246202657029466998481668551519210287274327440419628558386791896696738288556257947873963554988981669366960915789529217984333094890999405587591005500044700104452228392965583844193158422863005730837354885351346992833446288248463100046020852183896478998055918458249461
 323| 161500000| 560.0|09:20.0| 192724.0|02 05:32:04.0|1446624102|2015/11/04 08:01:42|0.36795035252733184929648371539343292095666560512702199556803982700202721586884438919395926710449041233019257934600663612020268404637418013408280329285344629337808800772119603913291794268164944832772994445254431003949427815398185383578433386959249126165478070257922796010573852951882812864340314770383962050160353833574453541992090222676156598231813930487518669100135650377740215666399623265570820576533849939212663584876754359619167565790239045007438946271383133261214564010079569140310105160960249831
 324| 162000000| 560.0|09:20.0| 193284.0|02 05:41:24.0|1446624662|2015/11/04 08:11:02|0.36795024300639843019594347195795506595244965471370912512099838026432812843542690652089682051352083350448583471513201100711769962582982374928603896218998023114618246137289322114989682766232042055105072694633137625166264851757608804471718379803603002610623324865842343448697543885706292888389900278505522604131383031722485643072748245949223010798928558141563157787697918432156723779040815347800749890005829426372969888494500980700925497658121557611585112533720029366050864336609879201397459795227898507
 325| 162500000| 560.0|09:20.0| 193844.0|02 05:50:44.0|1446625222|2015/11/04 08:20:22|0.36795013399135202373078793231077528695713332724808452998424276123699707842866119245250138161145623621296214023605418833998568242806066957755028035367080417561067041592473102053139399653559395063559552805791300993781575561744853020644627812709709768883342405394819103959797394059207368672487646576956969842256699867214017108065668510092141477585719210989359447897837016870095600285950344973663444572810361760405090888192080159961311196350552013563669186502788151797880770050845145270026414985420348169
 326| 163000000| 560.0|09:20.0| 194404.0|02 06:00:04.0|1446625782|2015/11/04 08:29:42|0.36795002547831004667930327883244911672948921051885585079306389811063097086755644140710224502771446999919585736528314314827049037738583290286170105491593270853103840580639715666713399470849958358389456103231866884860461841535043599570097951863931925211708154005086557225796760917493485175363531468118407087672123986136547983142969866962144775540833408485129069943869648835141699841287341366446489174690089452077596948312814765836084066643651435230175330445061295866143077317877166328368865062961783485
 327| 163500000| 560.0|09:20.0| 194964.0|02 06:09:24.0|1446626342|2015/11/04 08:39:02|0.3679499174634315052951659695646587405731983156219221448698264175354065146721500640392841901002109489516764386903194774380238290544176744326148308338220788442999248908082111954063015491440590330034666945866544967662441398401203060233226843251196013192562536555680049503815062433916163503763430256780060525016733358836416464218321188034853929305567126813220409966461236458050165396732994339525770120751050292095431560893843428682778267929740919052111153825661269920986893313114313091436480491643430308
 328| 164000000| 560.0|09:20.0| 195524.0|02 06:18:44.0|1446626902|2015/11/04 08:48:22|0.36794980994291642427265105015664987412768513426584292461534405457570508819744952073409851199337689272701810068662303279035726928367407310603395665354904285854608314571110634164044152580160832015910143974202624549415538426146099172314532355124729157570933990031042991744408758775304249846724809767842762992337767800377370967168365225434164217835057646955332154768763529211161734971710337961204731654305496186410885072975008980284437039234597644949525142864327883088266715288400557415558489837985283286
 329| 164500000| 560.0|09:20.0| 196084.0|02 06:28:04.0|1446627462|2015/11/04 08:57:42|0.36794970291300528526546554876201054162070332159697895461774025906689016695601950182424091679589309250941945311021500439630199071112388916859148894585632406875689469315318916407425950320790766273629738620041711377046005881915512571590978887727595070625306254244552636065667210283874161282395242350893880270868561243824677807491862110034480033850511790147022421442185392064292572639194854660750104509388368995817238982994591714390390283753272419396254991662554748869039564860162965794626652118181213116
 330| 165000000| 560.0|09:20.0| 196644.0|02 06:37:24.0|1446628022|2015/11/04 09:07:02|0.36794959636997847477088324290993349674668613778970046729714391682699811382569603818142308551432396800521842317224417908442289408262277723513985523322116585970470518699788224629734182625977821911835088096218035004394023403811017413867055594209893965325077297432691236522182995192658709645029743412358829632034613292771188531926289266224063611947419098336941600090262928135403373019360661671584989790149449421125529263859401391864749045276707541832031182686801153057462744192429149200416930363511367784
 331| 165500000| 560.0|09:20.0| 197204.0|02 06:46:44.0|1446628582|2015/11/04 09:16:22|0.36794949031015574119512754433850382437120541426091542712295764225894089431267044802910298272042128755795705030944338638630409739955881130825191723360669783105042457310112496571774772394927458685102659044427412537482492969233866421848663395265553598005420084847198121677298661117578946621253401320316246521117804096742799048588032811460121390241150148120696076329496438598084676196601031070915017052197529787191501355569626656692248225544054153909784333812323734392799922628264043660053491576560057197
 332| 166000000| 560.0|09:20.0| 197764.0|02 06:56:04.0|1446629142|2015/11/04 09:25:42|0.36794938472989566092011028642137517294371510581766588833033318294723652884035566739832565416259187649447500545632846627711310642711389813348403474867169065598656225982089655210189523850684381326980460377424184473476771100682516803376423104153230062228265094408837002233579966380480638823276496707772829582722312601400089893583843317505841050796687300371632375524996935010410203834786371915047667853778984842842253459126143161617864967519208834199091990717078281244891505987496223431915351081248185226
 333| 166500000| 560.0|09:20.0| 198324.0|02 07:05:24.0|1446629702|2015/11/04 09:35:02|0.3679492796255951131956889430864430289052057374938605166437318767529880656996907913486584730613844812698416538476410279237386570286661802338718014573914276258455684128429835411203331104430974212767887828296860089405773545663461984520033368821939304662753819462405229618331593244365235832762400823301018357724037357795888598881049952550382839172682140378841248463118925266764926662013196542862984796340815771519333608181852607867036296720997506340258806178906506445151437841481576106987232513842984079
 334| 167000000| 560.0|09:20.0| 198884.0|02 07:14:44.0|1446630262|2015/11/04 09:44:22|0.36794917499368876368555628367576767378235161722218748702982776759906530923178494154379703887481018378778901767662608920012805160155233581835157808758859498085061719999588178250583008218270577762832077915924678383536476071119439060670800068084481134573449514245058327170587271040796532041017060114569436805882726743477973145429836091282420559612470817532997669992351984506025445596186148277503099131127995449480455343990028129736783891734628615317051570536741433693874886593390018444461676777926044144
 335| 167500000| 560.0|09:20.0| 199444.0|02 07:24:04.0|1446630822|2015/11/04 09:53:42|0.36794907083064855649872760578346574712061626218076259583556240189645337426649875298472400785555459998785980554917115775813293521780242857817582354237897531541727140518996319319544056282800753460066954621215559843432372234793716665784549612971665867721969632994944086816317846768974296287002731438510557309485737896634212452764098601517986437967155683358413523320899654012435359550929573380664926566276827367175709274453125821550489214856626880496978710835068479810084181641975338024270375067203015592
 336| 168000000| 560.0|09:20.0| 200004.0|02 07:33:24.0|1446631382|2015/11/04 10:03:02|0.36794896713298321454234432683020991476348897129540107524410886869212172496184484740672309145341220380971205598153773495038465545164032300527450946237631186267844719227424278751648802548664827691475572279365732939726889586428770492560224186285253130544288978649720539947625520426750934635423953761522550012384441905967816076307804114737109427424292131434481115052388512105927230337430324588168426355502304362537476239965133202753558860955077533631284152046709453072211683473830789465990245717232515436
 337| 168500000| 560.0|09:20.0| 200564.0|02 07:42:44.0|1446631942|2015/11/04 10:12:22|0.36794886389723774803517160556128682231388985009943391020324201398838323959900313069116938306673534223854547473473815506801618173374294079972925051428813283189444197126823317862846570969677036178241690199266788922146463988401199694386922405259031422303992006635544235516011703109211438259914189663107718901379759807470455630408229501386609969053848266574069091537350108758310480507208265847191202101204599832990598703970763926362055688270546755169197129540513598476533293030986813007621816472614974267
 338| 169000000| 560.0|09:20.0| 201124.0|02 07:52:04.0|1446632502|2015/11/04 10:21:42|0.36794876111999297102473447185035227295880573310482831787163086566927151499884426706457083301295519480265491374803193400154691716814748691451188281021248976068297739319419735747548423212932956208994674820908896198922735084109389160166363129160194555861039915474898885157761534321625052080438505085992121316545683170550488758194732308796888399147974727568165748000613649797017485025935645521427630650065604865346983007707628546890059169066458723194473311680402834378131436699198336023010626263546932965
 339| 169500000| 561.0|09:21.0| 201685.0|02 08:01:25.0|1446633063|2015/11/04 10:31:03|0.36794865879786502575451424960514942280341764321869844534140905741261904124575334945513758768684952108638613402826602216922106887982564720550765132534993318716075030585329171254922487222037749019627440014031930454681460819322271438801172540327308573118317705028302199575643495386767156972551930999781233627339518884597283925201392578317643516900053558522607688126748318959546101404280354046365811322126481862927100605464525589881375727502848189928660180443423563032971252588861179817052564018169389548
 340| 170000000| 560.0|09:20.0| 202245.0|02 08:10:45.0|1446633623|2015/11/04 10:40:23|0.36794855692750491473101736584436370376886844716700448247690212494633792976543877532860474663054921252437253055697407337331330019451844936251593719059181276444547840878774212743848807473739216875814915897631746776766301414878689818771542160703548997202350775396706853113205703921358286843663989772538373084462983890258631740818506934607241312296455084294622836591821238735424171865119057605204339508249670319135738075142579439528819473100802433974562556259106744668238666015388521743132125178548544053
 341| 170500000| 560.0|09:20.0| 202805.0|02 08:20:05.0|1446634183|2015/11/04 10:49:43|0.36794845550559804034383437466773671256464523085983334361576855097341613702805770985460732573732275593405044677321515830764637407067835871460529979859645663627846982191925743926594456871956545778138915325419897349874506799333953232564019741182481416429229833844384773665587465283511851699604704147061617250001165595763348901171599773314897638264288578350847185746758428442162374475626362422433468485428711432758357312440882108534709850427440743979491508849988765096222601427843256930860242597753215655
 342| 171000000| 560.0|09:20.0| 203365.0|02 08:29:25.0|1446634743|2015/11/04 10:59:03|0.36794835452886375189503053887233504751578961775509757981819812908881275476803439454955288872924267575571530426238684692730320695385038559828417587499477629291543206783987735206132393847527887310980410834568786731479434028421505692807037450088863823611893764092647584253471080959565207156249052713362691130830008358517106039523690826775580955273170175552638014701218617482898185751036913506450005882099339540145491754352376209522657129040546858709637229121972160151451404796047568531751408270131191288
 343| 171500000| 560.0|09:20.0| 203925.0|02 08:38:45.0|1446635303|2015/11/04 11:08:23|0.36794825399405489989735288335124271586616837902421560479494412831812822694176118684403370792609885179794713346253738166732735605796781355900742177964031026431980282314008747901150542294065944529305584719428159172962618460155992918051451710008417233682378767477672122996013140533768562671576601634186663941791623758529743105072975309647687521440106236443941136579857376186649642797371436830618980978507546340510906251850830799776747959019407343166157370499267709249483169535023104388210863208028612041
 344| 172000000| 560.0|09:20.0| 204485.0|02 08:48:05.0|1446635863|2015/11/04 11:17:43|0.36794815389795739750380447250821661602316060005699363841996174287783056011557128647552901581765982779901291871183740826616009040909732365636397415865539681999661253632357501599107224533231736083695917120325265517792186756856578417281901854171240392422648065777455266015445721432915249340734101050693921426337306842436445508125282872486692466049535294838287580156489371956230718959383956019425464372171195629359505812397201773926872437118397810811585800008453070102641309586646399714540712129611712615
 345| 172500000| 560.0|09:20.0| 205045.0|02 08:57:25.0|1446636423|2015/11/04 11:27:03|0.36794805423738978893412691080300853175088899511631145782815187397236039032250100837177470436885941678787004127775908408412469416728149550649141737298942447871429221750094378332090415148068628568797081181129225829192009875532803203531638469411267141166960887263505649780927709751051606402226927910315756752440537251640754314258142995603506821819824283935806723670139397799286222642929234073444696221199154942635683223275700773409155010631998857764909930236077627093725024447575488243743865207147831692
 346| 173000000| 560.0|09:20.0| 205605.0|02 09:06:45.0|1446636983|2015/11/04 11:36:23|0.36794795500920282476664879822401870355472476112006193691143730821454936295264106481869966115459738036349638560933230077219172725794856261882313344166011280220871034705269391101617215053598931227639364300165337154202867427417985806226282402614136556724410319789553688908600345990692838776319344308847962546935566651084705789788682833166903929309143298728146504500674456823550039885101761350433775225057067284840865078545177897919690426302228394750338354459078352744833679489195173493807354291435497041
 347| 173500000| 560.0|09:20.0| 206165.0|02 09:16:05.0|1446637543|2015/11/04 11:45:43|0.36794785621027904396680310508904746443268224072181523289019886732504225103167296081960552051653772343079623309574645944474548209417197581294261826321178296160651370498601292282268745429759048196813903516837243846852306514537865241522153018441910073070222694458380925168930166610905400232058862674499181342357682807426940415101360535940355630660658305353741371974795219892698916285367351147320892282125779606893192269941596805214012240714105756031427689633261417652518404450479181704610099870463221227
 348| 174000000| 559.0|09:19.0| 206724.0|02 09:25:24.0|1446638102|2015/11/04 11:55:02|0.36794775783753236252639211640690545009433604657067868659812538798899014507002850102263670367744918972206609907429009035486242813020098146280105117193749898227746657558426354048924831316497151564005611006252392844364990831721379496334836385971192519089170385102563339626532262686915030016820154844193619192836724006283749200706778301166865716882623098551091377813470572624688176545079565544294079407892592311514448528314095405162655516554900447895236605001171127782502143044133522273672748269631710363
 349| 174500000| 560.0|09:20.0| 207284.0|02 09:34:44.0|1446638662|2015/11/04 12:04:22|0.3679476598879076685903866295881140813823129564928525391754064716415604589592916224921258166757864567650803294892753571599996396131756963750781173527671828898222302578767243118288098909882800302356810487214773220483430700191614619865130294662048909864888889838094694511354569682374722454917882382477484745072792516543035818942993102254163859453327329181247913230335644764162361134300973871628288690892830171358618828244620810717886656231757486239155412806604408947559215069003041266771253710707034549
 350| 175000000| 560.0|09:20.0| 207844.0|02 09:44:04.0|1446639222|2015/11/04 12:13:42|0.36794756235838042395068830819103921360004831121568913823244608306237269480707002231356515375095367261281460566657001731739483054943876181899549251518402020090303526478734384667512367657128141103208408708056155202701624123100635889277726171800720797722475752758314663615158365701183067160849352156678359735798288857865549306955548743153778219798732671094997302483900405901885115808298901681974939433006662974105585588584477913576322544305247592892827725896670890067938701162946159051562727744773488602
 351| 175500000| 560.0|09:20.0| 208404.0|02 09:53:24.0|1446639782|2015/11/04 12:23:02|0.36794746524595627178886228123812390222584408997155167046281619808015451069035777019288676326204656270817304565423245326045695402528872730933554212104932831299953321874314755793321543549564072227893910007221579469512344488620467001962494156472878263964171997343765427466883838334101919598509142377483153716947547001361329125443778287055586059083763988733135835849794517019393557358875279125233407545707675408437891347255815386774225116297232420324399130336385025444386444913969037066087418607139124056
 352| 176000000| 560.0|09:20.0| 208964.0|02 10:02:44.0|1446640342|2015/11/04 12:32:22|0.36794736854767065055236296182996191883297146562584604694442649928359483335716271593915705976749746540708644735242450504147212082960301127446069118225126114449088327979668494591736236693286991272294012317914029857568678311345573870524591666108467017031481878608758544886541548791417055752367269431490908736918189269121984810514839656920101013675550956957211922626496495144459457193688077078916933385746676325018173639946657335268425861504477850709742137584222532634039044413967618701445147100020626019
 353| 176500000| 560.0|09:20.0| 209524.0|02 10:12:04.0|1446640902|2015/11/04 12:41:42|0.36794727226058841385123131823911704799641027913156418243448163865085579764843321805973166563947810525643655767920285724330263163160794321185764983310402816169628127623250535530485737913357930228717381677516205418960549510525471456155342192030272969331271623448943500755919135622644926646328349578520980661440537975957574420302569837017640293016113947801208399007097137535104035643542916550434660823077886832260397561179253576915602341889802273251260066954321957723617116496759180256684252603786855629
 354| 177000000| 560.0|09:20.0| 210084.0|02 10:21:24.0|1446641462|2015/11/04 12:51:02|0.36794717638180345626463809349249686670566555459360088644339209447730666530260831838201056873340077418480883752790087032405546394079788775770656975557565358618129755377268019781879854794697352086342438218495151103022218064655143119378725913071220808466501948262161667060959531293641224948818944754320491021749548112712528696949175662953497578498508146574204998250277922262644866335020232040531641583423712685549587348054878097251438220937302037514726562198341426127473007373112321086443723972582992968
 355| 177500000| 560.0|09:20.0| 210644.0|02 10:30:44.0|1446642022|2015/11/04 13:00:22|0.36794708090843834494898631557225752788824805512458877355653112031642414377489778922917472410423803057366932231493316918990005777384414735967568702786054183793289407890627017661248457205355587639426802845097558427509903435093369164481550831316967360708585576906329278168306238890622586865084114118820810330153082544163399065861920162850511642590239793223042612157242799362732836235765895411517285858037936258942082658560887685016144554835253073265392710461838216774851818586682570851349051962129557878
 356| 178000000| 560.0|09:20.0| 211204.0|02 10:40:04.0|1446642582|2015/11/04 13:09:42|0.36794698583764395694156940306986553793951889419451710218199624150808481474342751582518825350818225930744933650745663030903079632787240335675851010403695062237728532346549480555996616841251990656737606361978788630231311033686232189085089102531033182600917034152491430503734981795429979896075369899132907344435333985215480796047885113031323335621893055267678336723908790612638058374776392712434684701658701275193758961833467854947295031547899867264333222609310493648614705340748625624678836968080402414
 357| 178500000| 560.0|09:20.0| 211764.0|02 10:49:24.0|1446643142|2015/11/04 13:19:02|0.36794689116659912205600973857622238503031013208113575759760740166038591552967736502650096833574591808151601489017201107131845179301161084610072089239928246778501790134446681997342259304747129368013322539659693459089502993774781237481041333002804322000196277763620954911435971953527285759728886732992735219492100044933221254434900357686295069005310405036432532758286503937114155343151573483600939666315497719404731589991019827280043505886350096942068727296226402291296605570135673597592798248340708153
 358| 179000000| 558.0|09:18.0| 212322.0|02 10:58:42.0|1446643700|2015/11/04 13:28:20|0.36794679689251027126787819876446092126919093538554620341028470709707630323819896377384309554401914359809024609398308776596264766433868998413094428436014080215887552021341479860817410528755741725752258786928119018350238277428305558231600299862366257275104273110945140793657970885616256022920211220740829456870988044272454024137711945407859159166982438374429878622762477767576716166340584135072474144738927108250330529434823888436300671770030227833427616002419858551172871316650008462479738987645576284
 359| 179500000| 556.0|09:16.0| 212878.0|02 11:07:58.0|1446644256|2015/11/04 13:37:36|0.36794670301261109049101919822474994408397827408819550564207193731563336176516929546086499123705447318651063000733508602301215505449772230736517143988873985158391750543310855980524886722518700338701912622895765988494793861188226074936160241925910403298525427125916068307076540210666533879164530556547097789066616497316866445557257012072118557041496089801858296270054597115876662267575375309130768162208899576086929644392074932244849656309218242671005886068108792490459556633770783045443503136212482387
 360| 180000000| 558.0|09:18.0| 213436.0|02 11:17:16.0|1446644814|2015/11/04 13:46:54|0.36794660952416217964717968491911845119680008160284012024492584801106110328573975203787375488524754088863020784376279858463040196203743654600275618323287583774948425607674238242318227481066892418660961037676697497187740702142760819275620197847019477018311423122794119522871007020884038260063840223984449690855980116815969237117796559558417825784245283507692122475935999457640982269827780129847190500807498028061022508822038074634359585608519663581177529073490202609728984205269626274632196256041975097
 361| 180500000| 556.0|09:16.0| 213992.0|02 11:26:32.0|1446645370|2015/11/04 13:56:10|0.36794651642445071693356554029386065736062994396834916279563437513698546237231966819873282103826734175484487419825749704115637745263324719032339882719678690902117664928795259693754963362224894950661072958305618678512162994373177651980420764261690559122195253892802237251571889118678651301791885717833433383165956168565581880495373094308298333770810947660857434311342388425115976342210476246037417311732076402408842124726406081984206572662707146992580876146083203077874488983516733994933133686203975035
 362| 181000000| 557.0|09:17.0| 214549.0|02 11:35:49.0|1446645927|2015/11/04 14:05:27|0.36794642371079012819492626991003767562707920273151106860596607254484861046657760684899945028765899179480919499915462272714745294869002222453842908116611340865288544604401627481523822269344685862931262740271868868311171140293613125328879979110360324755113521792596028147518777217689673558423073131781631125019054236654819109253451477110801316114168601156037287876751187854956280864876724557376829262694883946176650149555450172169511195075569530946386547649318657569744941410042676455089569534670946295
 363| 181500000| 556.0|09:16.0| 215105.0|02 11:45:05.0|1446646483|2015/11/04 14:14:43|0.36794633138051976130869996707528012610119848077413656703063412518692868814958671096715231873227372269445059278576241145132819035978208702039426013496085827437960331585836198259942999052783864076693868691866171662572175350233245843364906719645612031993983376227343772149251884816510490609910138661132557758059432273480573656317915343022722601076285409000373144226200225818505776875989351059708442217832914178387404789261394314955788924622598508912383631894359103157147247043370404190041203200637902781
 364| 182000000| 554.0|09:14.0| 215659.0|02 11:54:19.0|1446647037|2015/11/04 14:23:57|0.36794623943100456549363650255704386471821122960529403851350037714631254903506283227517086047462016393596506134919202664735369344584108953627395565479256810049186260356136681551072915541456052794292992100557320485863767434297681771172018999574150644238206403682454329481595327185311638251408284701547067727979366698098475336938771221657670273576277608482254794640286992571704984721998280751259033011014718709593515798725762339468734718026359992247400446186182317158601911186182122697146984474155544619
 365| 182500000| 555.0|09:15.0| 216214.0|02 12:03:34.0|1446647592|2015/11/04 14:33:12|0.36794614785963477545415891336555481445012972854558439690459792255351464240228109196874099955398784690095737049965070167558739053586496972056452553726632067927451208677967220477153017728712394574504202893077442361367848327698967109988263191414535495093252830592265355213057576503004846874257352069142708307310780805322959464079094212530936500811446195815211618851076015028803362041798798086172740067292740972005208488543117625997736093887165943667986685033629247464553937044015369302560889591797158778
 366| 183000000| 554.0|09:14.0| 216768.0|02 12:12:48.0|1446648146|2015/11/04 14:42:26|0.36794605666382560027452217440851588658426081714057924732543992657769327869553590991092417015134481736467117730242924885808699167133213704521430120622269322855634278566729995524603308399095098318864080202605817580896010659113865888691231260230199528747398708002537277082016402415348900918217726520067822161709142844020462179026381136689087656434792782967512557662620053535323107004023175696312415143157760126555101306708468592438085403662725523865243247039488797667664488182661381836196421287062296085
 367| 183500000| 555.0|09:15.0| 217323.0|02 12:22:03.0|1446648701|2015/11/04 14:51:41|0.36794596584101691697858604744965346174417426351993141545763246080163304047587052339276766623565909605437663634695088394186102002650045255218043141418492099370354785082965287589855937482689946161868405192094062106559532312697284619070179469652683745021047530585208054425041068959924636009346666322800525231418842048843452690359840210746103301347561646606298574357761469456901875793368813947511055473639453577411503896751353554453706557686785315640402506144121745287167713581754080354136120199998308898
 368| 184000000| 554.0|09:14.0| 217877.0|02 12:31:17.0|1446649255|2015/11/04 15:00:55|0.36794587538867296867273558949765549086467418887051312437613603016471463228967094143953247008983115467533922900206891252275991314767693751213395693597818728021119146450261020415708660316810539212162367665056490876989136586718941137558478941298992126419633277397096600350399778622989158152545584243922935340254917822332156504361267763672842097048394181878472124539696430294399112794637582529276549414399185234526796005750971517150678508878996741208575843431876255380068790310948287906095656647251722378
 369| 184500000| 554.0|09:14.0| 218431.0|02 12:40:31.0|1446649809|2015/11/04 15:10:09|0.36794578530428206719116021408463274494562258103295506575318818343232637792814269526346436111847521341878787100208062436691987779872501279548512775193873314204553066016188430134970848961444103730480834070981246481269280451270151058734293617832651430633119367970772123731240917952655731431378594327844235291350548307959294249321007846032762467186359442390300878788561430770461530058912095965360082267878633519208545817372069684017508357848954394057101428741502953933553713328097517915609350497014274319
