n    tn     tn+1   Sƒn                                Sƒn+1                              1 - Sƒn                            Sƒn - Sƒn+1                       
244  02.87  02.68  0.6768760685302523949502528921600  0.6311589021202878013738768459000  0.3231239314697476050497471078400  0.0457171664099645935763760462580  
246  02.91  02.69  0.6768740970463038575388736717300  0.6311606905428490676968067418800  0.3231259029536961424611263282700  0.0457134065034547898420669298500  
248  02.93  02.70  0.6768721652160918367258091166100  0.6311624437032146150983180632500  0.3231278347839081632741908833800  0.0457097215128772216274910533680  
250  03.14  02.73  0.6768702719327994721254526666600  0.6311641625690400658754697360500  0.3231297280672005278745473333400  0.0457061093637594062499829306030  
252  03.14  02.78  0.6768684161289966194630096651900  0.6311658480740585108748064158100  0.3231315838710033805369903348000  0.0457025680549381085882032493830  
254  03.19  02.77  0.6768665967749413203691233320600  0.6311675011195243545358835035600  0.3231334032250586796308766679400  0.0456990956554169658332398284980  
256  03.02  02.78  0.6768648128769658711689771735100  0.6311691225755851064604939892900  0.3231351871230341288310228264900  0.0456956903013807647084831842220  
258  03.26  02.81  0.6768630634759448261306147287500  0.6311707132825848942658808482500  0.3231369365240551738693852712500  0.0456923501933599318647338805020  
260  03.24  02.98  0.6768613476458387179235387520700  0.6311722740523038055471261031900  0.3231386523541612820764612479200  0.0456890735935349123764126488820  
262  03.28  02.90  0.6768596644923116079084479679300  0.6311738056691370557516052031100  0.3231403355076883920915520320700  0.0456858588231745521568427648160  
264  03.31  02.87  0.6768580131514129183400996225800  0.6311753088912167575230682814400  0.3231419868485870816599003774200  0.0456827042601961608170313411390  
266  03.35  02.90  0.6768563927883274322638840203600  0.6311767844514799552513295566300  0.3231436072116725677361159796400  0.0456796083368474770125544637270  
268  03.35  02.94  0.6768548025961821368312598679000  0.6311782330586851452736141254700  0.3231451974038178631687401321000  0.0456765695374969915576457424320  
270  03.39  02.95  0.6768532417949130186585193769100  0.6311796553983815005750557247700  0.3231467582050869813414806230900  0.0456735863965315180834636521470  
272  03.39  02.99  0.6768517096301841506900132117100  0.6311810521338317991890676239500  0.3231482903698158493099867882800  0.0456706574963523515009455877590  
274  03.43  03.01  0.6768502053723590705658352817400  0.6311824239068922759443580616800  0.3231497946276409294341647182600  0.0456677814654667946214772200620  
