   k     k*nj*ni   tji        t total   fn

2015-11-01 17:24:21-01:00
0030   015000000   613   0 05:31:53.0   0.36811214525743047534989183173976627169356252322128757828921362889149933150814368924200684271176352417694751409839847873508350947281097299931391097142721410167117189733538760920965923667622068092855518937240634821702414247000725246471613783671466022571566771654439873079018541414423588153326055829381942598426295948536193299666482281497247983189091101681068350798599519284937784687048358859397295953591320423978650030386369787593472406703144153788215607767867059743618741871769466312295198000097620132
0031   015500000   650   0 05:42:43.0   0.36810836061319564284291983836217460313702336453096179394495507147915953687125756673235155176461738922289298936841275789752990865385537400371861785832499858162375542541269830013741361237870305302444360329924649094994636252071104234285077779617127400412577907624306693703083979618219540472842491473255473942845061860828548163344698178478631304595038926570530743648631224683382754342022646026413586343116049075026301898140389948956611843756500745839997032455368924390705038136906581921831105758754549324
0032   016000000   652   0 05:53:36.0   0.36810475480796003434226695286014816081450279915194777236397545969824416328758314586132114174405141724653543932857664122756033118573948906330781873094820340910392429991720523276822127024323110870429106938973442379748354091443085663938177734629879226966569733054037579261405937342323379806445902617530190276874382073032555720286636404708770999455671699917046086536895150956588499649371590237533759284112157108689739689796376228348710222245864738421252761622662928875149645506770471186906565602863599895
0033   016500000   624   0 06:04:01.0   0.36810131418688880057329326036924205589265562512357002671130966760591682191044331210825352848976913472712743463236859434468165351869224229512652732715430257837227395903968562040160447755670536233479594519971110439006074916233200030916369804634006493994921737781288735911416839779930086309003927181728586946407175182199680869895910164443307041448523678668111038273568505244311721273943675925409483613910247150303119086617876031242478421728101123883719205858230924846075845595326004026465478580365267301
0034   017000000   799   0 06:17:20.0   0.36809802651154324751652397566898167312553519866710879986003399040838215219612334060502446971853828214453328811961837970317138900435073991144017623631821906304810521756934856707066468202448118768736611350597251793293861125638476822829421292443373411627133941642605209822430762223716306766795191387336501217901717093195785600236106064791150370012299165571839297858651407097941174060884079964507610437774590526220472095841271050049066302782314686049546303720264614389056532670513516156054702836714601334
0035   017500000   649   0 06:28:10.0   0.36809488077641486709079121519358057624279684608461423076983874607214783954526145942712341165042894616549117963455212575342468849550604685215699471844047125293780893612352398540380052873921311675193719590899884445578498272819560812694401709631082394953838296214506005018255327021987897652537904781029546737400270689479365793101014253768411290785372226818135604674164316726190330240406042317484559442924620790246632216703982389979542539679420122112475308890155034634270810512488602532706408874124956788
0036   018000000   673   0 06:39:24.0   0.3680918670536928316081201635984995105524627262757884137306704933733631482238167712104429374353271587740029463959181213074686686414990991045098038417877383813142656767331897668391844891671153564365911712933483292953630587801932194030160373183961823222575576535297901880227741485473522608107297005777231902366879179659746869218282475984931587275223270415806024848141841618120292502197079086699475843870132917727238389045873935445857332821060147815995430242947643819744249919753668821357696406619044704
0037   018500000   669   0 06:50:34.0   0.36808897636126977708370160724732178545813341459372531672039891909493245636751125868540240521436057401541050223499582632963311027703828027624657992161576625213888721005362712507135343458887151006745111173967018016658880137147258282053764891501716957402413552676158897214239838945293008734100438576697270976862192171672154403696564188811549142338932675953251931158731682782372158263468989826632925964618723972111765456824033544756024403079251443805005037189071562444234961198788567036042666532750298646
0038   019000000   666   0 07:01:42.0   0.36808620054998343600087404678604137166866741471812863738500272651134525277227121419051683238265586521928099508745121267370490737613572983179615693495469935480567315902062428297520256235978198477058146889102436172099696742529150425803540474673920912341072432207646105085815366347551220118858916519223162833669325033892743063545692634237341499620498739595549035800904880180724422137685889881894180744095880740407365398782051700116619884660228909732696980254836447630267028429529285847379129103305388325
0039   019500000   652   0 07:12:35.0   0.36808353220686658106665260908370063080295823101027751312235382669394753596616786991870018644198677645399666946873635375560112886161695643485807905790863848232261673226290398398581221322699903381724039838770318607359307570989527884485421454833523262720485412173902683089433393353580046571611637124553227691248229811530608723275502088160584871157057311677897654182872472637130594955174356027796916006464247155293324234812647468966207120777420271432819364975194995393630723571496740721203626524165042942
